Time,Open,High,Low,Close
2025-01-14 05:20:00,2672.8,2672.8,2670.73,2671.65
2025-01-14 05:25:00,2671.58,2671.69,2671.08,2671.16
2025-01-14 05:30:00,2671.1,2671.5,2668.93,2669.43
2025-01-14 05:35:00,2669.55,2669.79,2669.01,2669.57
2025-01-14 05:40:00,2669.66,2670.05,2669.01,2669.21
2025-01-14 05:45:00,2669.2,2669.66,2668.48,2669.25
2025-01-14 05:50:00,2669.26,2669.32,2666.85,2667.48
2025-01-14 05:55:00,2667.46,2668.55,2667.38,2668.55
2025-01-14 06:00:00,2668.64,2669.08,2667.77,2668.63
2025-01-14 06:05:00,2668.62,2668.65,2667.37,2667.44
2025-01-14 06:10:00,2667.66,2668.73,2667.46,2668.71
2025-01-14 06:15:00,2668.73,2669.6,2668.54,2669
2025-01-14 06:20:00,2668.99,2669.2,2668.32,2668.89
2025-01-14 06:25:00,2668.87,2668.97,2668,2668.18
2025-01-14 06:30:00,2668.17,2668.71,2667.51,2668.59
2025-01-14 06:35:00,2668.7,2669.01,2667.88,2668.72
2025-01-14 06:40:00,2668.78,2669.31,2668.41,2668.81
2025-01-14 06:45:00,2668.8,2669.45,2668.55,2669.43
2025-01-14 06:50:00,2669.51,2669.58,2668.32,2668.56
2025-01-14 06:55:00,2668.57,2669.45,2668.54,2669.05
2025-01-14 07:00:00,2669.08,2670.89,2668.26,2670.87
2025-01-14 07:05:00,2670.86,2670.91,2668.77,2669.36
2025-01-14 07:10:00,2669.35,2669.66,2668.44,2669.41
2025-01-14 07:15:00,2669.4,2670.83,2669.32,2670.65
2025-01-14 07:20:00,2670.67,2670.77,2669.8,2670.07
2025-01-14 07:25:00,2670.08,2670.21,2668.31,2668.46
2025-01-14 07:30:00,2668.57,2668.85,2667.19,2668.12
2025-01-14 07:35:00,2668.13,2669.68,2667.84,2669.34
2025-01-14 07:40:00,2669.3,2670.23,2668.73,2669.58
2025-01-14 07:45:00,2669.64,2670.15,2668.77,2669.08
2025-01-14 07:50:00,2669.09,2669.1,2667.98,2668.67
2025-01-14 07:55:00,2668.66,2669.92,2668.38,2669.19
2025-01-14 08:00:00,2669.55,2670.24,2667.31,2668.8
2025-01-14 08:05:00,2668.81,2670.33,2668.69,2670.31
2025-01-14 08:10:00,2670.28,2670.64,2668.92,2670.29
2025-01-14 08:15:00,2670.3,2671.83,2670.3,2670.83
2025-01-14 08:20:00,2670.81,2672.18,2670.35,2671.88
2025-01-14 08:25:00,2671.89,2673.75,2671.33,2673.15
2025-01-14 08:30:00,2673.14,2674.39,2672.4,2672.97
2025-01-14 08:35:00,2672.99,2673.09,2671.82,2672.64
2025-01-14 08:40:00,2672.62,2673.91,2672.32,2673.23
2025-01-14 08:45:00,2673.2,2673.61,2672.02,2672.02
2025-01-14 08:50:00,2672.04,2672.15,2670.91,2671.21
2025-01-14 08:55:00,2671.15,2671.72,2670.12,2671.03
2025-01-14 09:00:00,2671.02,2671.63,2669.87,2670.06
2025-01-14 09:05:00,2670.06,2671.21,2669.75,2670.59
2025-01-14 09:10:00,2670.49,2670.64,2669.76,2670
2025-01-14 09:15:00,2669.98,2670.75,2669,2670.29
2025-01-14 09:20:00,2670.3,2670.46,2669.17,2669.43
2025-01-14 09:25:00,2669.44,2669.44,2668.1,2668.76
2025-01-14 09:30:00,2668.75,2669.55,2668.34,2668.98
2025-01-14 09:35:00,2669.03,2669.04,2666.39,2666.81
2025-01-14 09:40:00,2666.8,2666.89,2664.88,2665.58
2025-01-14 09:45:00,2665.54,2667.6,2664.82,2667.05
2025-01-14 09:50:00,2667.3,2668.61,2666.1,2667.05
2025-01-14 09:55:00,2667.04,2667.71,2666.22,2667.32
2025-01-14 10:00:00,2667.32,2668.52,2665.99,2668.51
2025-01-14 10:05:00,2668.54,2668.85,2667.11,2667.47
2025-01-14 10:10:00,2667.48,2667.77,2666.34,2666.72
2025-01-14 10:15:00,2666.73,2667.48,2665.63,2665.63
2025-01-14 10:20:00,2665.63,2666.02,2664.66,2665.65
2025-01-14 10:25:00,2665.61,2666.72,2665.51,2665.88
2025-01-14 10:30:00,2665.89,2666.52,2664.69,2666.5
2025-01-14 10:35:00,2666.49,2667.14,2665.68,2667.14
2025-01-14 10:40:00,2667.24,2667.39,2664.87,2665.4
2025-01-14 10:45:00,2665.35,2666.64,2665.07,2666.49
2025-01-14 10:50:00,2666.52,2667.11,2665.99,2666.41
2025-01-14 10:55:00,2666.32,2667.09,2665.53,2666.68
2025-01-14 11:00:00,2666.67,2667.24,2666.17,2666.86
2025-01-14 11:05:00,2666.98,2667.29,2665.97,2666.75
2025-01-14 11:10:00,2666.74,2666.97,2665.05,2665.3
2025-01-14 11:15:00,2665.29,2665.84,2665.12,2665.28
2025-01-14 11:20:00,2665.28,2665.8,2664.58,2664.96
2025-01-14 11:25:00,2664.96,2666.12,2664.91,2665.65
2025-01-14 11:30:00,2665.72,2667.76,2665.72,2666.5
2025-01-14 11:35:00,2666.49,2667.48,2666.41,2667.3
2025-01-14 11:40:00,2667.3,2667.3,2666.21,2666.39
2025-01-14 11:45:00,2666.39,2668.28,2665.96,2668.18
2025-01-14 11:50:00,2668.17,2669.46,2667.7,2669.4
2025-01-14 11:55:00,2669.43,2669.84,2668.36,2669.31
2025-01-14 12:00:00,2669.2,2669.87,2668.99,2669.65
2025-01-14 12:05:00,2669.74,2670.53,2668.06,2668.12
2025-01-14 12:10:00,2667.93,2669.24,2667.73,2668.59
2025-01-14 12:15:00,2668.64,2670.32,2668.38,2670.15
2025-01-14 12:20:00,2670.18,2671.57,2669.94,2670.41
2025-01-14 12:25:00,2670.43,2670.79,2669.3,2669.77
2025-01-14 12:30:00,2669.72,2670.02,2668.41,2669.1
2025-01-14 12:35:00,2669.06,2669.06,2667.72,2667.83
2025-01-14 12:40:00,2667.82,2669.17,2667.23,2669.17
2025-01-14 12:45:00,2669.19,2669.2,2666.57,2667.34
2025-01-14 12:50:00,2667.35,2668.53,2667.27,2668.39
2025-01-14 12:55:00,2668.59,2668.66,2667.48,2668.36
2025-01-14 13:00:00,2668.37,2670.7,2668.24,2669.63
2025-01-14 13:05:00,2669.61,2670.23,2669.1,2669.59
2025-01-14 13:10:00,2669.54,2670.75,2668.7,2669
2025-01-14 13:15:00,2668.99,2669.89,2667.68,2668.65
2025-01-14 13:20:00,2668.08,2668.39,2664.84,2666.15
2025-01-14 13:25:00,2666.05,2667.47,2665.64,2666.44
2025-01-14 13:30:00,2667.15,2674.29,2666.44,2667.33
2025-01-14 13:35:00,2667.59,2669.2,2660.82,2665.53
2025-01-14 13:40:00,2665.56,2666.02,2663.07,2663.61
2025-01-14 13:45:00,2663.59,2668.82,2663.42,2667.24
2025-01-14 13:50:00,2667.26,2668.1,2664.4,2666.51
2025-01-14 13:55:00,2666.54,2666.86,2662.24,2662.95
2025-01-14 14:00:00,2662.86,2664.2,2661.54,2662.85
2025-01-14 14:05:00,2662.82,2663.12,2660.31,2661.65
2025-01-14 14:10:00,2661.65,2662.01,2659.93,2661.31
2025-01-14 14:15:00,2661.25,2663.97,2661.25,2663.16
2025-01-14 14:20:00,2663.12,2663.55,2660.6,2661.22
2025-01-14 14:25:00,2661.11,2662,2660.17,2661.06
2025-01-14 14:30:00,2661.08,2663.73,2660.99,2663.16
2025-01-14 14:35:00,2663.15,2663.79,2660.38,2663.03
2025-01-14 14:40:00,2662.96,2664,2661,2663.15
2025-01-14 14:45:00,2663.28,2663.62,2660.85,2662.24
2025-01-14 14:50:00,2662.14,2665.01,2660.9,2664.98
2025-01-14 14:55:00,2664.88,2665.96,2664.43,2665.22
2025-01-14 15:00:00,2665.4,2669.14,2665.14,2668.71
2025-01-14 15:05:00,2668.71,2670.28,2668.4,2668.96
2025-01-14 15:10:00,2669.07,2671.27,2667.54,2670.55
